               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.020798,           0.0043496,           0.0021587,             0.99323,               0.962,             0.97849,             0.79571,            0.019188,            0.005151,           0.0024094,             0.00505,             0.00505,             0.00505
                  77,            0.020596,           0.0047675,           0.0024383,             0.97602,             0.96929,             0.98103,             0.78287,            0.018806,           0.0052327,           0.0023726,            0.004984,            0.004984,            0.004984
                  78,            0.020236,           0.0045176,           0.0023616,             0.98232,             0.95378,             0.97754,             0.79508,            0.017731,           0.0050819,           0.0024919,            0.004918,            0.004918,            0.004918
                  79,            0.020207,           0.0042291,            0.002002,             0.99064,             0.94541,             0.98343,             0.79963,            0.018851,           0.0050733,           0.0024533,            0.004852,            0.004852,            0.004852
                  80,            0.019605,           0.0042873,           0.0019911,             0.98478,             0.95435,             0.98542,             0.78014,            0.017623,           0.0050619,           0.0022294,            0.004786,            0.004786,            0.004786
                  81,            0.020147,            0.004395,           0.0019186,             0.97901,             0.95849,             0.98336,              0.7855,            0.019364,           0.0050829,           0.0022177,             0.00472,             0.00472,             0.00472
                  82,            0.019452,            0.004304,           0.0021024,             0.99034,             0.95516,             0.98191,             0.79272,            0.018324,            0.005326,           0.0021503,            0.004654,            0.004654,            0.004654
                  83,            0.019703,           0.0042474,           0.0022087,             0.99593,               0.957,             0.97902,             0.79115,              0.0185,           0.0052172,           0.0021086,            0.004588,            0.004588,            0.004588
                  84,            0.019307,            0.004452,           0.0021029,             0.99713,             0.95952,             0.98511,             0.79554,              0.0184,           0.0050707,           0.0021655,            0.004522,            0.004522,            0.004522
                  85,            0.019849,           0.0041851,           0.0020493,              0.9835,             0.96321,             0.98582,             0.79541,            0.018908,           0.0049596,           0.0021247,            0.004456,            0.004456,            0.004456
                  86,            0.020069,           0.0040964,            0.002078,             0.97461,             0.97069,             0.98752,             0.78773,            0.017812,           0.0049117,           0.0021331,             0.00439,             0.00439,             0.00439
                  87,            0.018879,           0.0042652,           0.0017841,             0.99097,             0.96086,             0.98481,             0.77832,            0.018007,           0.0051974,           0.0021924,            0.004324,            0.004324,            0.004324
                  88,            0.019106,           0.0042725,           0.0018954,             0.99681,             0.95414,             0.98439,             0.80666,            0.017738,           0.0048912,           0.0021395,            0.004258,            0.004258,            0.004258
                  89,            0.019408,           0.0041336,           0.0024996,             0.98069,             0.96478,             0.98275,             0.79684,            0.018278,           0.0048992,            0.002294,            0.004192,            0.004192,            0.004192
